source,author,title,review_text,rating,bank
Apple,Adnan7177,خدمته سيئه جدا,لا يوجد خدمة عملاء و بطاقه تشكل و اقل حاجه إذا عندك مشكله تجلس ٣ ايام عشان تنحل,1,Sohar International
Apple,Naveen singhhhh,Worst ever bank,I’ll send my money to india it  take 4 days ! Reallly this app is sucks ! Even after  recieving msg of successful transaction from my side but receiver still not got any notifications or money ? IM GOING BANK RIGHT NOW TO REFUND MY MONEY AND CLOSE THIS BANK,1,Sohar International
Apple,Z’Din,Very bad option,"Pls don’t share customer care number when you know that the call is not free….. waiting long time to pick a call, this means sohar bank is working as agent to telecom companies.

Not even having free CC call",1,Sohar International
Apple,ZK.Loshi,Problem to to previous page with Back arrow in iphone 14,"I'm using iPhone 14 and I have a hard time going from the back button to the previous page, I have to press the back button repeatedly.  Hope Bank Sohar will fix this problem.",3,Sohar International
Apple,amutga,مشكلة عدم فتح ايقونة البطاقات في التطبيق,"توجد مشكله عند فتح ايقونه البطاقات في اسفل التطبيق .. لايمكن رؤية البطاقات الائتمانية ودفع المستحقات 

ارجو حل المشكله ولكم جزيل الشكر",2,Sohar International
Apple,Alhashmi noor,I cannot register my account in app,I cannot register my account on app,1,Sohar International
Apple,Snakeye10000,International transfer,Been asking for the last 3 month to rectify the glitch in the app for international transfer. Very bad response. Still waiting,1,Sohar International
Apple,يوسف الشعيلي,التطبيق ما عليه كلام,اعجبني سلاسة و سرعة و البساطة في اتمام المعاملات بس حاجه وحدة ناقصنه لو يضيفو البطاقة الالكترونية اي الدفع عن طريق التطبيق في المحلات و نتمنى لكم التوفيق و التطور,5,Sohar International
Apple,K Siyabi,Update the Layout,"I am facing  troubles while using the app. The new update iOS 16 isn’t friendly with your app. Kindly , improve the layout to go along with the new update .",2,Sohar International
Apple,Zakiya Al Amri,One of the Best,"There is a lot of enhancements and functionalities within the App. I’m happy I can extract my Banking Statement in PDF.

Looking for more enhancements and services.",5,Sohar International
Apple,Al raisi-oman,Paying through app using virtual card,Need to see option in sohar app that customers can pay any transactions through app by scanning digital card in sohar app . Most of banks in GCC they are using it . No need to use your actual cards only though digital card through app.,3,Sohar International
Apple,wafaa8989,Wafaa8989,Very smooth and helpful app,5,Sohar International
Apple,Shakil Al Balushi,Excellent and easy use app,Smooth and comprehensive app covering most important transactions and activities,5,Sohar International
Google,A Google user,,all too difficult. bb,1,Sohar International
Google,Anish Yadav,,I love this app,5,Sohar International
Google,HisHighness Abdulla,,I noted your apologies but what happend after ? I feel guilty for opned a account in sohar international. back office service so.bad they are taking 3 to 4 weeks time for small paper work. after complaints there is not replay of emails....,1,Sohar International
Google,Jamila Alharthi,,ممتازة,5,Sohar International
Google,Md.Jumman Bepari,,"dear sohar international bank please add the mobile number change option in this apps,",1,Sohar International
Google,Arvind Kumar Choudhary,,very good aap,5,Sohar International
Google,Janet Atieno,,went to the bank to change the new number since the number I used first is not active but still I can't access my account without OTP number which is being send in the old number this is draining 😭.,1,Sohar International
Google,Paripelli Rupesh,,good,5,Sohar International
Google,Deepak Yadav,,very good,5,Sohar International
Google,bangla desh,,nice app,5,Sohar International
Google,Waleed Albarwani,,"dear sohar bank team, Will you clarify why all the time the app dose not work? I just had enough I am moving to bank muscat instead..in critical times we want to transfer through the app and it say maintenance or doesn't work at all..",1,Sohar International
Google,Muhamad Rafeek,,"Sohar Bank is improved a lot within the last year and achieved international standards. As an indian, i have experienced many benefits like there's no service fee for the international transfer to India and will be credited instantly , faster than any other bank in Oman. The mob app of Sohar bank is excellent, very easy and user friendly. The beneficieries via mob app can be added with minimum details and avtivated immediately.",5,Sohar International
Google,MUFEED RAHMAN.A,,still this bank services 1950 year . to much take time if need any service from Branch,1,Sohar International
Google,Ayman Zadjali,,"1 star for there's no option for changing mobile number like bank muscat, I visited 2 times sohar international branch Souq Al Seeb but there staff are too busy they was dealing with 1 customer 2 hours I waited for them 3 hours but they didn't have time they are tooo slow, imagine I was waiting 3 hours for only changing the mobile number, If sohar international improve this option in application I'm going to thank them",1,Sohar International
Google,Sabe Mirza,,very impressed 👏,5,Sohar International
Google,Hajer Belochi,,not user friendly,1,Sohar International
Google,Durga Ghimire,,Good,5,Sohar International
Google,Vishal Manakkattu,,"Terrible. This is the worst banking app I have ever used. Whenever I need to log in, it takes too much time to load the login interface. The login time is also very slow. Transactions are also very slow. It needs to learn from other banking app developers in Oman. For example, Bank Muscat takes only seconds to log in and complete other transactions.",2,Sohar International
Google,AGUSTIN SHAJI T,,good app,5,Sohar International
Google,Parag V,,"App not responding most of the times. Frequent issues. Cannot use the app after latest udpate on WiFi, works only on mobile data",1,Sohar International
Google,Thai lover lover,,اواجه مشكلة اليوم في التطبيق ولا يمكنني التسجيل او إرسال الاموال,5,Sohar International
Google,Naresh Ravi,,"I'm unable to recharge the Friendi or Oordee number via Sohar Bank app, please check the number, please fix.",3,Sohar International
Google,Muhammad Kaleemullah,,All Good but colour not suitable for day in app colour,5,Sohar International
Google,Omar faruk,,nice,5,Sohar International
Google,Muhammad Asif,,super Service and best Bank .,5,Sohar International
Google,BILAL KHAN,,my app is not working automatically stops. what is the issue.,2,Sohar International
Google,ali ali,,good,3,Sohar International
Google,Salim Al Hajri,,"It's stuck and not able to open the app. It's so useless and very inconvenient . Always, there's a glitch",1,Sohar International
Google,Sam Kigozi s.,,"I changed phones and I have called the customer service team but they have not helped they say i reinstall app, which i have done twice but can't work. so for several days i cant transact. its awful",1,Sohar International
Google,Imran Jutt,,sir please Also include the method for changing the mobile number. add your mobile app,2,Sohar International
Google,Muzaffar Jamil,,there should be an option to update mobile number,4,Sohar International
Google,Fariborz Mansour-Ghanaei,,This application has problems such as freezing and not being able to log in easily.,5,Sohar International
Google,Sharif Rocke,,Nice,5,Sohar International
Google,Pintu Sheikh,,very good,4,Sohar International
Google,Sourav Barua,,nice one👍,5,Sohar International
Google,Haider Al Lawati,,Great Bank and App!,5,Sohar International
Google,GURUDAS SHANBHAG,,superrrrrr,4,Sohar International
Google,Abdul Jabbar,,Excellent,5,Sohar International
Google,Muhammad Murshid,,Not working,1,Sohar International
Google,Odiaka Uzorka,,Very nice app,5,Sohar International
Google,Osam Alawi,,"OTP received after 3 to 5 minutes and sometimes never If you do transactions over the weekend(eg from Bank Muscat to SIB via IBFT) Account never updated many other issues.. with this bank Hence go from worst to bad, try Bank Muscat",1,Sohar International
Google,Amr Abulmaged,,"The bank app has new features I'm not recommended at all. Don't ever think of using the app for flight booking. That's my experience. Took almost a week to get a ticket, even the payment done immediately after submission. Awful experience",1,Sohar International
Google,Fakrul Islam,,Good,5,Sohar International
Google,sreekutty t.s,,"Am satisfied with app, especially international &gcc transaction but cannot make payment to the nri account",5,Sohar International
Google,XAVIER MARIYADAS,,EXLANNT,5,Sohar International
Google,Shaikh Mohammad Nadeem,,Great and so easy to work and any transaction I loved it,5,Sohar International
Google,Hamburg Castle,,This is great apps and bunk,5,Sohar International
Google,MAHENDRAN SEEMAAN,,Still lot of issues facing this app! Even debit card show bad card! Wrost experience then ever!,1,Sohar International
Google,Zunair Jutt,,Nice,5,Sohar International
Google,Deepu krishna K,,"I cant transfer fund to india, option for india in beneficiary is not showing",1,Sohar International
Google,om prakash,,excellent service 💯,5,Sohar International
Google,ayub raja,,Very good,5,Sohar International
Google,ROMMAN AHMED,,Good,5,Sohar International
Google,Shahnoor Mehr,,Excellent Banking,5,Sohar International
Google,Raees Pcv,,Good app,5,Sohar International
Google,Sourav,,"Initially the service was good to grasp customers. But recently it is noted that they are recruiting under experienced staffs for customer service who don't or unable to answer most of the queries. The response they provide is raise it in the App and it will be resolved. When I raise it app, I get a response contact the bank for support. If this is the response for every query is raise then what is the requirement to have a customer service???",2,Sohar International
Google,Rashid Ali,,Good,3,Sohar International
Google,Islampur Gaibandha,,"It's very bad experience, When i gonna opn the apps it's automaticly crush.",3,Sohar International
Google,Mohamed Hassan Soorow,,I'm interested,5,Sohar International
Google,Khalid Al Maamari,,"Great app saves me a lot of time, and I can do all banking services through it.",5,Sohar International
Google,Basharat Ali,,Good service,5,Sohar International
Google,Harikeshsingh Yadav,,Very good app and banking sohar international best in Oman okay 👍,5,Sohar International
Google,Mohammad Rasal,,Verry good sarvice,5,Sohar International
Google,MR nowshad khan,,Good,4,Sohar International
Google,HARI NAIK,,very much disappointing services,1,Sohar International
Google,Hamid Khan,,This is very good application,5,Sohar International
Google,ja3fer ja3fer,,سئ جدا,1,Sohar International
Google,Omani Omani,,Very professional and easy to use. Thanks Sohar international bank 👍🏻,5,Sohar International
Google,Seyed Mostafa Sekhavati,,"Good appearance but lots of problem. For example: you can't delete any beneficiary, if try for that you would drop on a awful loop with no consequences.",2,Sohar International
Google,Abu Qabis Trading,,Best bank,5,Sohar International
Google,Mohamed Daha,,Very satisfied sohar international bank,5,Sohar International
Google,Sensei Kumar,,Everywhere free transfer,4,Sohar International
Google,kumar,,Very bad app and worst customer service,1,Sohar International
Google,Grandpower Amrat,,It's better system to fast,5,Sohar International
Google,Afroz Siddque,,Good app,5,Sohar International
Google,Said Al-Naamani,,Keep it up bank sohar and good luck,5,Sohar International
Google,Riaz Abdul,,"The app gets hanged very frequently, even after updating many times.",2,Sohar International
Google,Bright Bennett,,Practical,5,Sohar International
Google,Haris Muccadam,,Amazing app Very easy to use 👌 !,5,Sohar International
Google,Jamil Alriyami,,Not stable,2,Sohar International
Google,Masoud Alghaithi,,"The best available, genuinely unique level",5,Sohar International
Google,El King Maged,,Nice App,5,Sohar International
Google,Md jakir Hossain,,Nice,5,Sohar International
Google,Mohammed Abdallah,,Too much time taking to verify installing process.,1,Sohar International
Google,Mbrpakquriyat,,Good luck,5,Sohar International
Google,Mejbah Sagor,,nice,5,Sohar International
Google,Nawazish Ali,,Nawazish Asi good service,5,Sohar International
Google,Arman Arman,,Alhamdulillah good app,5,Sohar International
Google,Salim Man,,تحسن التطبيق بشكل كبير فقط فيه توجد مشكلة بسيطة عند تسجيل الخروج التطبيق يتوقف عن العمل,4,Sohar International
Google,Rashid KV,,APPLICATION IS NOT OPENING AT ALL....,1,Sohar International
Google,Mohammed Imran,,Nice,5,Sohar International
Google,Irshad ansari,,Sohar international is very good bank,5,Sohar International
Google,ALAM JAHANGIR,,Very good Mobile banking ❤️❤️❤️🌹🌹🌹💝💝💝,5,Sohar International
Google,Jabed Vai,,Nice App,5,Sohar International
Google,Wajid Mohammed,,"The new app is useful, but after making each payment, it will not be responsive unless you re login again.",4,Sohar International
Google,Krishna Moorthy,,Good,5,Sohar International
Google,Muhammad Haris,,Amazing app,5,Sohar International
Google,A. Malik Al Balushi,,Perfect banking,5,Sohar International
Google,Sharin Shahin,,Very good,5,Sohar International
Google,sanjay shah,,Superb 👌👌👍👍,5,Sohar International
Apple,Edwingeorge,Bug,The app log in and then log out in the next 10 seconds. I don't know what the problem is. show the session expired,2,Bank Muscat
Apple,طرزطتطرذًذ,تحديث تحويل,غير جيد ابداً اتمنى يرجع التحويل اللي قبل,1,Bank Muscat
Apple,hassan_zafarwali,I am bank muscat new moblie registration I am forget user I’d and password please help me,I am bank muscat new moblie registration I am forget user Id and password please help me,3,Bank Muscat
Apple,CptSyndicate,App crashing once again,"After the new update the app keeps crashing. Everytime I go to any other page once’s logged in, it abruptly crashes the app. Please fix this",1,Bank Muscat
Apple,jhoon123,تحويل الرصيد عبر الهاتف النقال,اتمنى  اضافة ميزة اخفاء الرصيد المتوفر   عند القيام بعملية تحويل الرصيد عبر الهاتف النقال,5,Bank Muscat
Apple,Alatif095,Last Update,"Since the last update the app doesn’t work as normal as before, it keeps logging out automatically with a message saying “session time out”",1,Bank Muscat
Apple,Vaidya Vatsal,"Works less, crashes more","3 days out of 7 days in a week, this app is either down or crashes every minute. Keep logging in 10 times to do one transaction. Everything that can go wrong in an app is displayed here. Poor poor banking standards.",1,Bank Muscat
Apple,MSO8878,اظهار اسم الشخص كامل المراد تحويل له المبالغ,نريد اظهار اسم الشخص كامل المراد التحويل له عن طريق رقم الهاتف .. ما نريد حرفين ونجوم ******,2,Bank Muscat
Apple,27shayleen,Test the app before launching,The app keeps on crushing all the time even while logging in whether with password or Face ID. It’s genuinely tiring I can’t keep up with this!!! It’s been weeks!!!!!,1,Bank Muscat
Apple,Mohamed . Albulushi,انا واجد مستاء من التطبيق و مشاكله,بدلت تلفوني ل تلفون ثاني نفس الايكلاود و نفس كل شي لما جيت اسوي تسجيل دخول يطلع لي النظام تحت الصيانة و للعلم هالكلام مر عليه شهرين  ليش هذا كله يعني ياريت حد يفهمني,1,Bank Muscat
Apple,👊🏽fact,The app is very week,Sometimes not working,1,Bank Muscat
Apple,king f kngs,Updating app,"Very bad in receiving data for updates, more over updates are very frequent, and no notice for any improvements !!

Bank Muscat you need to hire better employees!!",1,Bank Muscat
Apple,asasaa1,Problem,Can’t download,1,Bank Muscat
Apple,Dimpozzz,Bank muscat,Good,5,Bank Muscat
Apple,Hana al jabri,الوادي الكبير,مسجد الكويتي,5,Bank Muscat
Apple,Maryamtuhai,Very slow,Bad service and slow,1,Bank Muscat
Apple,Masterofphilosophers,E-mandate,"There is no option to create a new E-mandate in M-banking , pls do the needful to provide it.",4,Bank Muscat
Apple,ibrahimzeidi,عطل لوحة المفاتيح (كتابة النقطة),البرنامج جيد جدًا ولكن اعاني من مشكلة كتابة الفاصلة لاتظهر معي وحاولت التواصل اكثر من مرة مع مركز الاتصالات وايضًا الموظفين في الفروع ولكن لا جدوى,1,Bank Muscat
Apple,Drsureshvb,Update,First time seeing an app that doesn’t want to update. Click update and it doesn’t move a mm,2,Bank Muscat
Apple,_Dove80_,؟؟؟؟,التطبيق معلق،،، ما استأنف الترقيه!!!,1,Bank Muscat
Apple,HASAN BAYZID,App login trouble,"Kindly fix the issue of device registration again again and again!!! I had to re-register my device at least 50 times!! After every few days, a prompt says “ LOOKS LIKE YOU ARE LOGGING IN FROM A NEW DEVICE!!!” . I was asked to logout from all logged in devices for iCloud, which I did. Still, the same issue!!! No solution!!!",2,Bank Muscat
Apple,Omanis22,اسوى بنك فعمان,اسوى بنك فعمان,1,Bank Muscat
Apple,يسرى 83837373737,التحديث الاخير فيه مشاكل,مشاكل في الدخول,1,Bank Muscat
Apple,Khin thida lin,Can’t add beneficiary,I couldn’t add .,1,Bank Muscat
Apple,Osama.106,Transferring money,"After the last update . Transferring terms and conditions are too bad that you cannot transfer money more than 500 and the registration of account takes 24 our hour . I don’t know why they made it too complicated. Other banks are advancing and developing, while Bank Muscat is regressing.",1,Bank Muscat
Apple,Omar alkiyumi,Omar Alkiyumi,"Perfect features , the best bank app",5,Bank Muscat
Apple,3moNoob,wouldn’t recommend,"worst bank ever
terrible service and long waiting times for transactions and services are down too frequently for long times",1,Bank Muscat
Apple,Roo7_al_8ala,ممتاز,برنامج فنان,5,Bank Muscat
Apple,Fatma1111Oo,Worst app ever,"I've been having trouble signing in for more than 7 years! Every time I call, they send instructions that are not affective. Even app developers don't understand the issues going on the app.",1,Bank Muscat
Apple,SPL120321,False devise recognition,"With the latest update, the phone is recognised as new device and have to register again which not true",1,Bank Muscat
Apple,Abdu365,Account is disconnected from app on daily basis,"On daily basis, my account gets disconnected from app and then I need to register my bank card again. This is very annoying and not convenient!!!!",1,Bank Muscat
Apple,Omarrrrrr97,Transfer txn,"With all due respect to the Bank Muscat staff, especially the development department, I suggest that you cancel the feature that prevents transfers of more than 500 riyals during the first 24 hours when adding a new user account. This feature has nothing to do with security or protection. When you add the account, you can know and verify the beneficiary’s account name and account number. I apologize for taking too long and I hope that the matter will be looked into in the public interest. Thank you.",2,Bank Muscat
Apple,Najman4art,لا بأس,Ok,3,Bank Muscat
Apple,Sltnac,ساعة كاملة لتسجيل مستفيد جديد!!,ما واضح ويش يفكروا المطورين لما قرروا يرجعوا للخلف ويزيدوا مدة تسجيل المستفيد إلى ساعة كاملة مع تقليل المبالغ الممكن تحويلها في اليوم الأول !!!! قاصدين تصعبوا حياة الناس؟!,1,Bank Muscat
Apple,18علي المعمري,بنك مسقط بكيره ما عارفين يضبطوا تطبيق؟,"يعني حرفيا كل يوم افتح التطبيق يكتب لي ان الهاتف جديد ولازم اسجله كل مره 
الحين اكثر من سنه نفس المشكله و لا واحد من الدعم الفني عرف يحل هالمشكله تواصلت اكثر من ١٠ اشخاص و مافي حلول….",1,Bank Muscat
Apple,Oman700,مشكله في التطبيق ولايوجد حل الى الان,واجهت مشكله وهي ان التطبيق كل ما ادخله يطلب تسجيل هاتف جديد بالرغم اني استخدم التطبيق في هاتف واحد فقط وتم مسحه م فتره طويله من الهاتف الاخر تواصلت مع البنك خبروني في هواتف الايفون فقط تواجه هذي المشكله والحل انك تغير اكلاود اخر!! ممكن حل لهذه المشكله,1,Bank Muscat
Apple,MidhunRajAlpha,Very buggy,"Seems like the app was released without much testing. It keeps crashes every time you login or try to make a transaction. Initially I thought it is just my phone issue but later talking to my friends, I realized all are facing the same. Always gets logged out for no reason. Sigh.",1,Bank Muscat
Apple,fufufufu67FU,سرعة البرنامج,اخيراً قررتوا تعدلوا البرنامج صار اسرع واوضح واتمنى تتطوروا دايما يعني وما تطبقوا,3,Bank Muscat
Apple,Momomatchi,Problem!,"When I try to transfer money to someone using their phone number, I cannot find the option for this service. Only the account number field is required, and the mobile number payment option is not available. What is the issue?",1,Bank Muscat
Apple,خالد الشجيبي,صلالة ظفار صحنوت,يحتاج إلى المزيد من تطور مثل سحب بدون بطاقة و وتحكم في سقف البطاقة. و سقف للأجهزة نقاط البيع,3,Bank Muscat
Apple,MasterAladdin,Awful,"Almost for a month in a year this app doesn’t work, sometimes it just says session ended the moment I log in.",1,Bank Muscat
Apple,Najamali771,New app Update,Will the old bank muscat app Was great the theme was perfect even the old bank muscat support the face id To avoid to type the password the new app didn’t showing the face id login  thnks,2,Bank Muscat
Apple,T2IMR,تفعيل جهاز جديد,جهازي قديم ويظهر ع انه جديد وطبقت كل شي قلتوه وما انحلت المشكلة مازالت موجوده من ٥ شهور ، ف بنتقل ل بنك ثاني,1,Bank Muscat
Apple,shathan21,Improvement,Need more improvement,1,Bank Muscat
Apple,Malak Ahmed Abdullah,Balance update,"With the old app, the available balance would update automatically after transferring funds. However, with the new app, the balance remains unchanged, which may give the impression that the transfer was unsuccessful. Please investigate this issue. That said, the overall look and feel of the new app are excellent.",3,Bank Muscat
Apple,Akash 19,Good,But need mony deposide option life insurance,5,Bank Muscat
Apple,amer994656,تاخير إضافة المستفيد,البنك الوحيد في عمان اللذي يتاخر في تفعيل المستفيد,1,Bank Muscat
Apple,Sameh alhosni,التحديث الاخير,"للاسف التطبيق صار غير عملي 👎🏻،
صحيح الواجهة صارت مرتبة وجميلة، ولكن عشان تشوف المبالغ في حساباتك لازم تدخل على كل واحد وبعدها تضغط على العين، وكان من الواجهة تقدر تعرف كم معك في كل حساب.",1,Bank Muscat
Apple,H580s,التطبيق ماقدر اسجل فيه الدخول,ايش السبب ماعرف,1,Bank Muscat
Google,Md Shajal,,nice facility,5,Bank Muscat
Google,Sajid Khan,,Excellent bank,5,Bank Muscat
Google,Aminul Islam,,Easy to use. Very helpful app.,5,Bank Muscat
Google,Shahzad Ali,,good,5,Bank Muscat
Google,Hira Manik,,good apps,5,Bank Muscat
Google,AR Wazit Rohman Rony Munshi,,Varry Good App,5,Bank Muscat
Google,Abdulrasheed Abdulqadri,,absolutely excellent app with very simple English,5,Bank Muscat
Google,Arash Shirzad,,"When I try to register my new android device, after clicking on sending sms, the app keeps crashing. I cannot register my new device and have access to my accounts due to this error. I am using a ""Mi"" phone with the latest android OS. Please address this issue in an update.",4,Bank Muscat
Google,Suman Ahmed,,good,5,Bank Muscat
Google,D K GIRI,,simple and good service,4,Bank Muscat
Google,Md Abubkr,,good,2,Bank Muscat
Google,Muhammad Sabir,,good job,5,Bank Muscat
Google,Rehmat Ullah Arshad,,Bad app need urgent modification,1,Bank Muscat
Google,Shojib Ahmmed,,good app,5,Bank Muscat
Google,Umar Mayo,,Good bank muscat app,5,Bank Muscat
Google,andurrazai baloch,,easiest bank in Oman and available every where in Oman also best for international use.,5,Bank Muscat
Google,Hassan Amir,,The best opinion if you travel to Oman,5,Bank Muscat
Google,Jasmin Rathod,,very good,5,Bank Muscat
Google,Badhon Vai,,good,4,Bank Muscat
Google,MONZURUL ALAM,,nice,5,Bank Muscat
Google,Namshid 4363,,very usefull,5,Bank Muscat
Google,Devi thina,,i nerd English why arabi,1,Bank Muscat
Google,Shamim Ahmed,,Very good,5,Bank Muscat
Google,John Berwin,,good 👍 service,5,Bank Muscat
Google,jinoy thomas,,"I'm facing an issue where the QR is not getting captured while scanning — the screen remains still and doesn’t proceed to payment. However, the same Bank Muscat app on iPhones works fine with the same QR. I tried on multiple Android devices with the Bank Muscat app, and none were able to scan successfully. Please note: I'm using the Bank Muscat QR scan and pay option daily without any issues for the past month. But since July the scan feature has stopped working on Android phones.",2,Bank Muscat
Google,আলোর পথে এসো,,Good app Service also good,5,Bank Muscat
Google,MUHAMMAD SAID,,really Good 😊👍,4,Bank Muscat
Google,Muhammad Qasim,,fantastic,5,Bank Muscat
Google,Tofayel Hossain,,Super service,5,Bank Muscat
Google,Ajzal 3245,,it's good and helpful,5,Bank Muscat
Google,sam,,بنك مسقط ممتاز جدا ومن البنوك الرائدة بس تمنيت لو نظام الدفع بالهاتف nfc يكون شامل لكل أنواع الهواتف التي تعمل بنظام nfc ولا يقتصر على بعض العلامات التجارية للهواتف المحمولة مثل سامسونج وابل فقط بل توجد علامات أخرى مثل هونر هواوي وغيرها الرجاء النظر في هذا الموضوع شكرا,3,Bank Muscat
Google,Nil giri,,Better Experience,5,Bank Muscat
Google,C R A S H,,متى تفعلوا google wallet؟,5,Bank Muscat
Google,Mustafa Mohammed,,Excellent,5,Bank Muscat
Google,Naimur Rahman,,Bank Muscat should accept request for credit card under 150 OMR . just for low earning people to get financial freedom,2,Bank Muscat
Google,Niraj Magar,,I think Bank Muscat also add Nepal for speed transfer because lot's of Nepali people come to Oman just for work so. If they put Nepal option then I'll do 5 star review.,2,Bank Muscat
Google,Nahedul alam,,"My mobile is running Android 11, it will not be updated, so even though the Bank Muscat app is downloaded, it does not open. Is there any solution so that I can use it?",2,Bank Muscat
Google,Rajabrabu M,,EXCELLENT,5,Bank Muscat
Google,Muhammad Afzal,,this is helpful for me.,5,Bank Muscat
Google,Malik Aleem,,very nice app,5,Bank Muscat
Google,KHALID MEHMOOD,,all application is good but I make one more suggestion for IT DEP THAT THEY SHOULD reduce time to add new beneficiary. it's took around 1 hour man need to think about it.,5,Bank Muscat
Google,Mohammed Salim,,Good app it is easy to use for everyone ❤️❤️,5,Bank Muscat
